Month,Day,Year,T,I,Rf,D,Synthetic_const_ps,Syn_ps,Synthetic,Am_RN_N,Am_RS_N,Am_SN_N,Nd_RN_S,Pm_RN_S,Pm_RS_S,Qc_RN_S,Qc_RS_N,Qg_SN_S,Qg_SS_S,Am_RN_S,Am_RS_S,Am_SN_S,Nd_RN_N,Nd_RS_N,Nd_RS_S,Pm_RN_N,Pm_RN_SW,Pm_RS_N,Qc_RN_N,Qc_RS_S,Qg_SN_N,Qg_SS_N
10,1,2015,21.2898,393.3491,0,0.0115,0.9273,-0.7662,0.3463,0.2543,0.6972,0.4367,0.5539,0.5761,0.457,0.2379,0.846,0.3737,0.6476,0.4449,0.4558,0,0.4173,0.5857,0,0.8784,0.2776,0.7994,0.4952,0.2756,0.4743,0.6429
10,2,2015,25.5989,427.1246,0,0.0223,1.0582,-0.8591,0.377081,0.3142,0.6957,0.5042,0.7146,0.8241,0.4866,0.1481,0.7436,0.3008,0.7031,0.5035,0.4577,0,0.5515,0.856,0,0.9149,0.3096,0.6378,0.385,0.207,0.5635,0.5959
10,3,2015,19.1002,411.0462,0,0.0127,0.9579,-0.9761,0.323142,0.281,0.6471,0.4094,0.5319,0.6563,0.4169,0.1671,0.8549,0.3782,0.6721,0.3809,0.5592,0,0.3827,0.6661,0,0.8396,0.2138,0.8123,0.5485,0.2687,0.5392,0.6308
10,4,2015,26.0745,384.2046,0,0.0248,1.0756,-1.092,0.342647,0.2534,0.6799,0.4861,0.6013,0.7942,0.4571,0.187,0.8562,0.2712,0.7216,0.5957,0.4119,0,0.3495,0.8729,0,0.8602,0.2548,0.775,0.3711,0.1885,0.4769,0.6938
10,5,2015,23.3633,381.0327,0,0.0145,0.9727,-1.2335,0.286519,0.2079,0.6456,0.4093,0.6085,0.6495,0.3931,0.1505,0.8444,0.3134,0.6893,0.4416,0.3489,0,0.4267,0.6612,0,0.8467,0.2257,0.7653,0.3911,0.2289,0.574,0.6116
10,6,2015,22.1218,366.6989,0,0.0104,0.8954,-1.369,0.242685,0.1731,0.6656,0.3743,0.5917,0.576,0.3557,0.1453,0.8202,0.2804,0.6181,0.5202,0.3251,0,0.3773,0.5522,0,0.8772,0.2077,0.6974,0.2863,0.1968,0.4796,0.615
10,7,2015,22.9091,287.0502,0,0.014,0.9664,-1.4981,0.243059,0.3836,0.6567,0.4006,0.7257,0.7673,0.3801,0.1664,0.7984,0.3654,0.6415,0.48,0.369,0,0.394,0.6706,0,0.7984,0.2577,0.6907,0.468,0.2637,0.6216,0.5728
10,8,2015,25.705,386.9333,0,0.0227,1.0582,-1.6423,0.245473,0.2998,0.5817,0.4534,0.7365,0.7149,0.4168,0.1456,0.7997,0.2958,0.6665,0.3711,0.3073,0,0.264,0.8417,0,0.8735,0.2552,0.7897,0.3319,0.2123,0.5917,0.6143
10,9,2015,23.6791,350.6335,0,0.018,1.0177,-1.8052,0.209182,0.1743,0.6229,0.3749,0.4829,0.6042,0.3492,0.1602,0.7688,0.2886,0.6589,0.3281,0.2765,0,0.4328,0.6894,0,0.8625,0.2468,0.7495,0.2433,0.1904,0.6614,0.5902
10,10,2015,19.9704,351.3659,0,0.0062,0.7576,-1.9596,0.130748,0.1197,0.6435,0.2852,0.3111,0.3524,0.2796,0.1424,0.7705,0.252,0.5638,0.3185,0.2352,0,0.228,0.3884,0,0.8295,0.2111,0.7183,0.1933,0.1692,0.2401,0.5892
10,11,2015,23.6587,337.216,0,0.0158,0.9882,-2.0642,0.163695,0.1814,0.647,0.3973,0.6554,0.5018,0.3561,0.1715,0.7854,0.301,0.6048,0.2783,0.2689,0,0.2331,0.6381,0,0.8308,0.233,0.7244,0.2592,0.218,0.5462,0.562
10,12,2015,26.7378,320.7617,0,0.0243,1.0663,-2.2048,0.159911,0.1182,0.6582,0.3368,0.5266,0.5531,0.2854,0.2024,0.6177,0.2175,0.632,0.3837,0.2005,0,0.2973,0.642,0,0.8737,0.2804,0.5823,0.1754,0.1481,0.3842,0.515
10,13,2015,28.132,303.9394,0,0.0278,1.0852,-2.3535,0.141827,0.1506,0.6164,0.3161,0.3341,0.4831,0.2713,0.1648,0.736,0.2086,0.6272,0.2939,0.2013,0,0.1613,0.5729,0,0.8945,0.2631,0.5841,0.1284,0.142,0.4967,0.5567
10,14,2015,27.2131,287.1251,0,0.03,1.1013,-2.4955,0.124303,0.2572,0.6441,0.4008,0.4869,0.5079,0.3416,0.15,0.7412,0.2437,0.6562,0.2934,0.2345,0,0.136,0.6421,0,0.9023,0.2225,0.5288,0.1775,0.1547,0.4321,0.5686
10,15,2015,25.133,276.9166,0,0.0235,1.0641,-2.6286,0.099268,0.1959,0.6003,0.3842,0.5076,0.5243,0.3423,0.1322,0.7653,0.2635,0.6458,0.3845,0.222,0,0.384,0.6,0,0.8107,0.2395,0.7419,0.268,0.1823,0.5741,0.5886
10,16,2015,24.1146,222.4658,0,0.0201,1.0361,-2.741,0.08041,0.1814,0.6007,0.3664,0.4704,0.468,0.3226,0.1049,0.7534,0.2509,0.61,0.2545,0.2413,0,0.3193,0.5693,0,0.8299,0.1875,0.6724,0.2349,0.1682,0.4545,0.6037
10,17,2015,15.4291,179.3916,4.064,0.0012,0.2774,-2.8364,0.01249,0,0.1662,0.0329,0.1254,0.0172,0.0309,0.0127,0.0453,0.1544,0.0555,0.055,0.038,0,0.084,0.0493,0,0.1194,0,0.0897,0.1293,0.1133,0,0.0878
10,18,2015,16.5,199.2908,0,0.005,0.6992,-2.721,0.045706,0,0.5632,0.2244,0,0.0123,0.2205,0.1029,0.4836,0.2785,0.3569,0.1654,0.2055,0,0.084,0.284,0,0.572,0.0951,0.4886,0.1257,0.1985,0.1893,0.42
10,19,2015,17.8298,207.5253,0,0.0066,0.7767,-2.7742,0.047993,0,0.5221,0.2442,0,0.0101,0.2267,0.1005,0.5117,0.2648,0.3774,0.1927,0.2378,0,0,0.3044,0,0.5786,0.1765,0.5272,0,0.2037,0.1942,0.4107
10,20,2015,21.4263,210.3261,0,0.0142,0.968,-2.8314,0.061265,0.1598,0.6483,0.3817,0.4783,0.4596,0.3375,0.1243,0.6555,0.2876,0.5022,0.176,0.2204,0,0.2251,0.6542,0,0.8121,0.2356,0.5579,0.2611,0.2033,0.4903,0.4616
10,21,2015,22.4613,198.2801,0,0.0185,1.0225,-2.9066,0.058685,0.156,0.6306,0.3071,0.3714,0.4615,0.27,0.1188,0.6908,0.2761,0.5426,0.2552,0.1914,0,0.2451,0.6295,0,0.749,0.2757,0.5978,0.2646,0.2033,0.4956,0.4923
10,22,2015,21.6909,192.3249,0,0.0177,1.0159,-2.9809,0.049563,0.1814,0.6398,0.2911,0.4252,0.516,0.2555,0.0905,0.6697,0.2969,0.5452,0.1862,0.1974,0,0.203,0.6365,0,0.8175,0.2327,0.5957,0.2884,0.2088,0.5711,0.513
10,23,2015,21.5894,200.2211,0,0.0154,0.9842,-3.0454,0.039827,0.2264,0.6173,0.255,0.3922,0.5371,0.2217,0.1216,0.6015,0.2708,0.5001,0.2326,0.2084,0,0.2705,0.4709,0,0.7472,0.1462,0.613,0.2881,0.1989,0.2718,0.471
