Days,c,p50,L,ps
0,0.5379266658271877,0.5992947627521774,0.6833426178330184,0.9518090378815912
1,0.5914907801025476,0.6876567206875137,0.7477718933415474,0.9964530915540729
2,0.5433349624896179,0.6247191825997197,0.6258386622776091,0.9486445732263115
3,0.5882963543469358,0.7111418390477399,0.773913663481461,1.030141124882243
4,0.5689058299747232,0.6003136633991357,0.6460130866379609,0.9626023387866897
5,0.5631072229060786,0.529172380355245,0.6255058628508023,0.9362491608718839
6,0.5385291732155313,0.6428494116851516,0.7247250008081138,0.9611335426161753
7,0.5339298416689308,0.6532643199335565,0.6624461493325542,1.0222917565620269
8,0.5449689199861085,0.6259987986738144,0.6275628260797657,0.9297815459210707
9,0.6141917455533185,0.6291250463895072,0.5935999759447828,0.9877054301468206
10,0.5308734557449689,0.6116637227921345,0.6727133944929693,0.9263269831630445
11,0.6039581581483207,0.5954053109317555,0.6317291293662722,0.8857356512006632
12,0.5149451951759964,0.5911801738050954,0.6669411920407198,0.913542741308676
13,0.5585433198407438,0.6881628093203077,0.74617340215171,0.988321496816246
14,0.5418715544170697,0.7235735857489936,0.7325139024493192,0.9764219870735641
15,0.558383522846517,0.6412456741157352,0.7460523043089918,0.884317312738483
16,0.5677764614123875,0.3132483358496041,0.6535399594490764,0.7497578740903
17,0.5513593841673552,0.6384739759713763,0.6539772350828552,0.9615672257375985
18,0.5695313457098721,0.6138016940264015,0.6658938664061363,0.8955290231268204
19,0.5115076361756142,0.5771746636537005,0.6453530466363855,0.8792876241444215
20,0.5351668217557413,0.6364710157303023,0.7089072764384753,0.9386207258534931
21,0.5389116655744117,0.6377051572764808,0.6934449368047445,0.9229143534335531
22,0.49879578295432714,0.5912008767442332,0.6374726657598215,0.9115669248361267
23,0.4742115123993092,0.6034880187580081,0.7210436367424756,0.8619579370298263
24,0.5949643125680728,0.5855499616432915,0.5897762609033669,0.8531531171387878
25,0.5578320626681446,0.6237671666200373,0.6821079944148811,0.9512957337972563
26,0.006273793698092753,0.01317304503496336,0.9855875861407609,0.004264965239462885
27,0.6079528134718344,0.6280912148477344,0.6556275940765875,0.952704049186117
28,0.5048784351883043,0.6211817134892357,0.6002646086461573,0.8368853024391779
29,0.5679483945088875,0.6226634450299098,0.6082549621420096,0.8588772938914696
30,0.5884081723278906,0.5799444848961288,0.5971276051140266,0.874940463731251
31,0.006926068542748137,0.014973013372826114,0.9840084891861955,0.0047907182966185095
32,0.5516585583730196,0.6665211845723241,0.6688707958463852,0.8806868047748949
33,0.5305973854278068,0.5862129718446751,0.5870165486628239,0.9198039912544296
34,0.566840334767578,0.5699358556888313,0.5757028577023444,0.8499288190396158
35,0.573604163041655,0.6097181444287915,0.6167092123995781,0.8389558909614053
36,0.5884216320603697,0.5799584558536088,0.5971361319303076,0.8749358395331226
37,0.6292562747749708,0.5989556341339036,0.6136394466155572,0.8532800638435609
38,0.007253912554394506,0.01593952946971018,0.9831704642784626,0.005037527283168908
39,0.002799889768708057,0.0052683281174769414,0.9937524598817916,0.0011374160702348854
40,0.6046059759015673,0.5958399271171095,0.7696402979332114,0.8546862116106319
41,0.6390297619010263,0.6133186037738245,0.5181208822363206,0.847618396752305
42,0.6546807098513957,0.6073782510231192,0.5751092011174308,0.9123314502420912
43,0.579448913757297,0.6132173534378791,0.5782470982160796,0.8198743473763285
44,0.6342891051122566,0.64585437175034,0.5299279426584279,0.8489140551855497
45,0.730535708768251,0.6387509047699494,0.5858471767314589,0.9908073782857792
46,0.5122173017172901,0.6280260347411107,0.5559559672970777,0.8413485136292607
47,0.5625367400580698,0.5801862936238337,0.6157764089577665,0.7800950458739697
48,0.6214389101214658,0.666773870324047,0.5346747636753454,0.9295031663354446
49,0.6299297878428258,0.6010564782520627,0.5579985081790213,0.8515625192897923
50,0.4847561616898703,0.6646907733420268,0.6100550481729659,0.8056514436139235
51,0.5709490818490266,0.6229237526861505,0.5951797553692327,0.811567025312313
52,0.5984450821108064,0.5950021953262877,0.5043121762503177,0.8895441303656377
53,0.5349311079352884,0.6992134512651907,0.552395840599285,0.8364396041758387
54,0.006046046018280789,0.012582532482193263,0.9861128545442551,0.004072717607031692
55,0.5625358201622915,0.5801879676002201,0.6157892364702515,0.7801166532020617
56,0.7144282577460721,0.6609395451551677,0.7424831490753655,1.0721088171013329
57,0.5699814873482095,0.5977802930599703,0.5769377355086766,0.8391615325542366
58,0.5927492515731616,0.5777789860948555,0.6165472088021949,0.8147732078629102
59,0.5015589127395131,0.6579610851712112,0.6018809891845248,0.822567660836854
60,0.006938039856673145,0.015020885241900199,0.9839732170334184,0.004804366935478624
61,0.5233118906617765,0.6443037995712286,0.40052216402216567,0.6756755039412533
62,0.002575186053728049,0.004876257170906975,0.994462221802019,0.0010247413071970723
