Days,c,kxmax,p50,L,ps
0,0.4357033467554896,0.6386200369137055,0.671551362952521,0.7671664279118197,0.9919319427869705
1,0.5124328691088366,0.6227451365479356,0.7251096416569357,0.7626982973570238,0.9906156343544262
2,0.4855616136437832,0.5914860492237236,0.7205798897408451,0.789717977827863,0.9705704796884509
3,0.5390498882023582,0.6323495803983117,0.6970399619224025,0.7698564759652935,0.9675435534006248
4,0.47088826055581545,0.5784128998363998,0.6633710177740019,0.789163179010427,1.0086829102852601
5,0.508117629469507,0.6085573443047314,0.6735212345697671,0.7086459150218597,0.8655252732914369
6,0.5127492127292532,0.5718354599776846,0.6515990346089796,0.7881448503324924,0.8958503598695623
7,0.48081309032739267,0.599234433456574,0.7140374682305486,0.7896967701107772,0.8964912199193759
8,0.5465042481719383,0.6345878089244641,0.7048402465697221,0.7889055603441725,0.9767376670969077
9,0.5360119906832329,0.5997943219164686,0.6299336280943888,0.6398338887461634,0.864471183781972
10,0.4720544305434016,0.6037002001142686,0.5866804652086364,0.7498637234075803,0.8874222886371141
11,0.5185734641644612,0.6471858670599805,0.7185512239922426,0.8777299828052555,1.0272979502603459
12,0.4914447447066417,0.6334097920933732,0.7522711512838968,0.7703581222980843,1.0164726210378132
13,0.4751895353523908,0.5581355164595748,0.6621142702711269,0.7205285211895793,0.9079520247523106
14,0.4795168594792192,0.6361342893550666,0.6978742676331622,0.8092285361428582,0.9475192523096779
15,0.4655574179300086,0.5631835796744621,0.6843786250424572,0.7459716586939269,0.9552203333905961
16,0.5475559391781498,0.513060764779873,0.6505085040965589,0.6162224034724061,1.0112186593465853
17,0.5214775973070762,0.541866729020414,0.6418646664700549,0.701743307980037,0.9009607404155222
18,0.5627950193393196,0.5680961862337325,0.6796864103867537,0.7537356239188577,0.9763330044399309
19,0.5344119679060056,0.6644243434043631,0.7156390650170332,0.7860842530913752,0.9813314016643718
20,0.4370015361900894,0.5685826466644128,0.6580360807027994,0.7728390000639519,0.925511265922
21,0.5028046952629038,0.6344631842500077,0.6224204983755355,0.723403806663422,0.910440247837346
22,0.4647295141653494,0.5945563729752199,0.6426106459672878,0.7558791158409824,0.9146661034234722
23,0.4816364176195099,0.5223405133097722,0.6448901323896188,0.8192320737973928,1.005057921038071
24,0.482122810464213,0.5687428406989354,0.6301925926312901,0.6303073160138848,0.7943097257299176
25,0.48858255274944296,0.5605260762210061,0.6674230565745198,0.7659780139813146,0.9674363548191063
26,0.5400476739296514,0.520665172156562,0.4951244090314237,0.7390546828558954,0.9266871399996364
27,0.5114731173184093,0.5791970887255568,0.6611170581615087,0.772215515379767,0.9821347085245012
28,0.5651089391691333,0.6507691379211337,0.6894164545002849,0.7461557690974044,0.9337920366986772
29,0.4805987652097791,0.5647485658607514,0.6274115451225044,0.7318819350471246,0.920381996703165
30,0.5034436832407168,0.6126822606313264,0.6339496582786642,0.6852361891298918,0.8722345494298133
31,0.4305299052425032,0.3859738560253487,0.5178196627403234,0.5199171378553913,0.978011321240343
32,0.49428053813262285,0.5947343173917747,0.5958963343338546,0.6468469183493052,0.8070940713375687
33,0.44428927469659235,0.5271154715463345,0.6248690472696603,0.7435647539969376,0.9581731723909436
34,0.5575778401321333,0.5871306635390838,0.6923820307461148,0.7409673625779338,0.9613041309203727
35,0.47354553896038604,0.5414976061802851,0.6425174979870903,0.653944718194209,0.9500523211754287
36,0.48931865045785805,0.5940410880585844,0.5916356652784627,0.7712527325256899,0.9137076607315188
37,0.5001305148860123,0.5382221612378895,0.5597462773914244,0.7002074865995024,0.8337217457853232
38,0.5505146473365525,0.4417220111177689,0.43349672602178424,0.5964684742551906,0.9768774329208711
39,0.016044459072110065,0.8416640847176329,0.08645552796393331,0.9080657504238128,0.923480379482624
40,0.511731989924152,0.5566362788340916,0.6045707006151574,0.6411205344122546,0.8412440045302381
41,0.4973819325810594,0.5088001188529783,0.5705222065401617,0.5992840733749589,0.8177135387371641
42,0.5084513142378293,0.5014942134442427,0.595220584521184,0.673725164177577,0.8879305095536625
43,0.5437428065175832,0.5487274666960924,0.6664300333725329,0.7175684184010601,0.903058746343784
44,0.5525975590974391,0.48412794089568517,0.6321361116663788,0.6379460587221043,0.8403765188482241
45,0.6223259542910692,0.6229808497699839,0.6445167490576825,0.6841857697632803,0.9311250793808358
46,0.5346554506080912,0.5729128440623092,0.6569835112880497,0.7753927976870877,0.9898099386674114
47,0.5577051368100592,0.6009401401485739,0.6398248363664735,0.6464817917332317,0.8774454431723645
48,0.539991911571154,0.554527623829945,0.5589864078297444,0.6234826157664431,0.9093156194512595
49,0.44855377905796173,0.5122971808406027,0.6052930874102318,0.6368316019261192,0.8804309580299471
50,0.4902678700583502,0.5832016441437932,0.62584240106811,0.7563498826625278,0.8784797816196575
51,0.5333356386756642,0.544762764341688,0.6536370496912721,0.5980085219141661,0.845462198975673
52,0.599907836555521,0.597784802214331,0.6886966569120845,0.6857427467841701,0.9011022782861764
53,0.5423205364704266,0.5999007106335255,0.6809941861501416,0.6700547869748389,0.9461277387275889
54,0.47446365596829565,0.42007489585101165,0.3293616500477141,0.45142645811763893,0.811547037759182
55,0.5576987516920588,0.6009246742793805,0.6398229991600182,0.6464854304555714,0.8774334803058045
56,0.4854642874702061,0.4643939965725396,0.5865699562264364,0.6267340461821073,0.7918064544170067
57,0.5722057810017311,0.5706923412712748,0.5927882882673393,0.7249098854160648,0.9245155968070707
58,0.5027596463908149,0.5636600439866405,0.581139428312738,0.6221092796497206,0.8644145717134556
59,0.4405706845085805,0.5223839721700828,0.6516988851976343,0.6605557248277354,0.8418602254358054
60,0.41517781369584295,0.5058018675104337,0.362889315626098,0.6436970154383197,0.9657573005234769
61,0.5588557955050464,0.5616231238287511,0.6130757290885446,0.6285897372113436,0.8861787398668547
62,0.00983959557991321,0.011771098029885817,0.839873153356016,0.15438295358922588,0.842698984114881
63,0.015585736428208758,0.84161359456505,0.08620124520661127,0.9083641536590219,0.9233649861487568
64,0.008949851913501667,0.01084170484034589,0.8401303062615967,0.15432640365485925,0.8429399100230545
65,0.8385344563784413,0.09921956414562645,0.6384198977702318,0.7459231855541038,0.9510413707686822
66,0.23915825880107786,0.6236221764617711,0.3089691396659319,0.9052411625481567,0.9345757394789143
67,0.014717122562852573,0.8414738371123976,0.0857164829245166,0.9089609779871427,0.923138048099486
68,0.24176403702244068,0.6246679928999075,0.3108320609329754,0.9037499945254958,0.9361798945226912
69,0.8392599645115789,0.09694940918743969,0.6383873117196314,0.746788740623349,0.9503815029923758
70,0.00944854068034989,0.011360336612453722,0.8399893410150502,0.1543550210660606,0.8428002629120483
71,0.0032029894625861944,0.0031857598812593045,0.0059599868699433635,0.9882547184544115,0.0016107849204025238
72,0.002911983623813913,0.0024741740220962133,0.005406098645914103,0.9889921967956562,0.0014105141578884693
73,0.0029884729880845255,0.002655415236736469,0.005549557431349457,0.9887949569523143,0.0014627814887450317
74,0.5416119013333699,0.5012687242443502,0.5558658111530408,0.6211233201261933,0.8424737567452406
75,0.8392235775593246,0.0972191506059291,0.6383885962858706,0.7466565756951232,0.9505300053384097
76,0.588415107003621,0.6128688287336493,0.6644085241223474,0.6079555012613004,0.9673602207150968
77,0.0081450177348853,0.010010297225339661,0.8403519065000326,0.15428738763003153,0.8431817460370805
78,0.00740052492822353,0.009250046950767837,0.8405521656112722,0.15426399841529057,0.8434281694115219
79,0.6609547565596293,0.5128618950535451,0.569313795619979,0.8516397399733812,0.9230507295605139
80,0.0027864640300848944,0.0021916345172236806,0.005173686442074885,0.9893228462056192,0.0013267452296029775
81,0.0016732097413764307,0.0004361123715823781,0.0032241907414570026,0.993186342795403,0.0007699570113756472
82,0.839107304137258,0.09742865720585164,0.6383855321565847,0.7466035028301492,0.9505225590867477
83,0.454152159034278,0.574255652170357,0.6140567537901422,0.6786797597737562,0.8632569087287607
84,0.0017610040545752276,0.0004959904564167381,0.0033794904970014424,0.9928375210438716,0.0008011222518944228
85,0.8281241435064671,0.3190151620506174,0.26556871885833944,0.15197021219668308,0.949299448905237
86,0.23912735299935092,0.6237326058571586,0.30904448569024767,0.9052784390675443,0.9345947766795318
87,0.002229358930521692,0.001114225025206451,0.004174014244197504,0.9909835770319154,0.0009943971350572416
88,0.5700137420568995,0.5378838406201397,0.6172036826054946,0.6445375174383937,0.9056713444223164
89,0.45143134408298496,0.5335005230914691,0.614090404896455,0.7001743564520332,0.8218128133814193
90,0.003538699420149784,0.0041067865296115745,0.006635942227955056,0.987427844299334,0.0018465979836720101
91,0.0019285821191527505,0.0007162241611668988,0.003650043668297481,0.9920553684750516,0.0008571507773033809
92,0.4514418265111282,0.5335162049792344,0.6141007232035447,0.7001815389590745,0.8218131853651075
93,0.61115910695493,0.23664908832974785,0.3884115313743401,0.15283928451793824,0.7216785411405107
94,0.8385291180779073,0.09923606330728105,0.6384204815625902,0.7459170113576242,0.9510460656707692
95,0.24185377329681135,0.6247078732845638,0.31090193137428257,0.9036992955936172,0.9362330743551844
96,0.007867477582224766,0.009725493671332155,0.8404272134651587,0.154276639503732,0.8432704964346412
97,0.002478985420199106,0.0015596058929487782,0.004615867860044367,0.990189122254592,0.0011331373537612074
98,0.003525046557709417,0.004065096982256256,0.006607116919296427,0.9874613908930089,0.0018366791419877878
99,0.0031436856329967646,0.0030342615937482974,0.005845077188525361,0.9884026629907958,0.001569490809350627
100,0.0035872685198559797,0.004244219627831856,0.0067369949446187466,0.9873089652460544,0.0018801314534560006
101,0.009507130754957616,0.01140248734050306,0.8399944103880258,0.1543315344826067,0.84275948418279
102,0.010217092243881155,0.012167437459850394,0.8397599157531704,0.154409303691078,0.8426033582795375
