Days,b,c,g1,kxmax,p50,L
0,0.42836162806254563,0.5404097068751671,0.6455408706986041,0.6819040411294215,0.7719851422606524,0.9589639477045162
1,0.4429964332207437,0.5247282661386116,0.5925116458098896,0.6658959171590877,0.7788932065595099,0.9185255548352199
2,0.4807944556767818,0.5758972573101548,0.6481507930191376,0.6983179494601809,0.7835779120026547,0.977790973389367
3,0.44049143815844854,0.5251189959578549,0.5893927663710551,0.6511080382931738,0.7661016644535937,0.9390964548874082
4,0.4556924602749422,0.519862808471009,0.6132857162014463,0.666993893846775,0.7891944009354026,0.9378548069368037
5,0.42825845514363853,0.5482989761208102,0.608726093408301,0.6641490270997349,0.784173389660186,0.9117362937453893
6,0.45692971984189046,0.5325788369848171,0.6412961387737665,0.7154032859866251,0.7899041182407855,0.9652336131846477
7,0.4167361995079317,0.5095276162821131,0.6023409173664306,0.6648303260254839,0.7540083575763523,0.9285378420502236
8,0.41778424252142654,0.5135813690661275,0.6118517602472303,0.6349622428626495,0.7383390963968479,0.9052666283011604
9,0.42870945295470814,0.49709854402325326,0.5896787236903815,0.6508594666554027,0.737656876830084,0.9209034279777829
10,0.458778076180914,0.5631549040347309,0.6425415032836538,0.6848979092521508,0.7859994013699305,0.9478457272767851
11,0.44307355843899227,0.5324068466448435,0.5739507497569584,0.6432670763254968,0.7471625763032831,0.9295502563556565
12,0.443810579738067,0.546463098756612,0.6456951027964069,0.6886409396577464,0.8005519380081513,0.97437455547675
13,0.4433446424672744,0.5124922704329553,0.5920894316069129,0.67598291065767,0.7590773073956908,0.951670452586981
14,0.44157658294827995,0.5182843479629706,0.62229423919518,0.6383848379041844,0.731254089115345,0.9205929902298323
15,0.43131993925266254,0.510389626556451,0.587569940738227,0.640500257976725,0.785488556597865,0.9308124963097698
16,0.4443833264870586,0.5018538378123648,0.6259736066522065,0.6814392986796088,0.7730655121731532,0.9413043801194566
17,0.4535429521221938,0.5668410446608314,0.6372079308870492,0.7013351890719459,0.7855861557881704,0.9264386285880393
18,0.42822787497033715,0.5118561332918917,0.5951398067709067,0.6704815389282109,0.7664559724525797,0.9216442630427574
19,0.42311030381953463,0.5066639634484923,0.5809158091373431,0.6559475459729267,0.7665568311850104,0.9116073035906375
20,0.41246367019121216,0.5304614019117075,0.6131833459948982,0.6888537277126106,0.7641410685341317,0.9064887939120099
21,0.4473879090987028,0.5404702277676022,0.6236503820604972,0.6604119901877503,0.7433512994935424,0.9205056034730636
22,0.4421776474475294,0.5195636189627011,0.6394943069063125,0.6518854723700555,0.7707865163018274,0.9314965834706207
23,0.4281998109515088,0.5351691079329454,0.580144519336578,0.6613866842068378,0.7794311557205117,0.9599509056253152
24,0.44717849702364515,0.5385376672120191,0.644993417256361,0.6654544290584972,0.7747158954363577,0.9308440144663495
25,0.41777797376062575,0.5340289197748961,0.6136474482612745,0.6740514201183795,0.7794703071584321,0.9582783523241506
26,0.43521663329487703,0.5038010281369039,0.6055239539075894,0.6345504844380846,0.7262875720243032,0.9168288315245423
27,0.4403012041857762,0.5375813774537055,0.6397981633885357,0.6782401367384625,0.7594210721607463,0.9398454016500825
28,0.43432118311210977,0.5511369962286871,0.6307486479923932,0.6483172284517589,0.7763093152675311,0.9355099861712179
29,0.45181276209629523,0.5338818225806236,0.6436515167035832,0.6696379888068675,0.771538543800663,0.9536305122018774
30,0.41581004975691965,0.5244402268898671,0.62921125939218,0.7036481491743198,0.7753682492607891,0.9050219032883495
31,0.4356121856448705,0.5340755488043603,0.5987359773263271,0.6411602634616583,0.7738862146809459,0.949992275650232
32,0.4445734296258403,0.5335511724715951,0.575713428307893,0.6397041943159906,0.741361901674478,0.9382347302606436
33,0.44418219530205527,0.5362762584944746,0.6161090860489562,0.6827751283648391,0.7364523980588309,0.9043233916320138
34,0.4320870476230087,0.5476917038399967,0.6337903564670038,0.6592337817945737,0.779648204566349,0.9107858123281989
35,0.433155321297728,0.535634575713136,0.6221864166182742,0.6747229359235876,0.7872509073421439,0.9288700759441005
36,0.43779276394241196,0.5249559462924736,0.6009262908271377,0.6785603856336585,0.7506583813678301,0.9629646358796058
37,0.42043963776190557,0.5349241649263282,0.6011947621418571,0.6686261398568047,0.7512839306068393,0.9306473259610659
38,0.4246582000909263,0.5415650415597868,0.6460987221266749,0.6894809636514506,0.8122092583035551,0.9450542298529464
39,0.4642968530947297,0.5779382455709065,0.6295881621363862,0.7033753084718094,0.8101970854906291,0.9938169638463916
40,0.446945980747513,0.5073893414019197,0.6202264356995103,0.6327189943772443,0.7751784083257911,0.9073634530720863
41,0.43994647942841897,0.5386993242571169,0.584632434827883,0.646675748897565,0.7668989950196494,0.9079219994687489
42,0.45809389397306693,0.544388164587638,0.6593054359583339,0.7033578076630921,0.7616505672197982,0.9336478955738976
43,0.45497666930345,0.5524861329195001,0.6405492416614772,0.663062803231837,0.7721199703480875,0.959783074496813
44,0.4371476596971251,0.5215193818869293,0.6412513340403205,0.6623067694143383,0.7621011730660741,0.9466373866659623
45,0.4386782504284949,0.5306930183755582,0.6148823499702902,0.6654415288579999,0.8026558674243531,0.9246374116042488
46,0.46317150445569033,0.5381507180490402,0.627281352080207,0.6894933636628837,0.754681813222265,0.9003864928707509
47,0.4228880555102266,0.5140841113267868,0.613147579180205,0.6559014954302524,0.7948248685969811,0.9508491833012466
48,0.44067419836883953,0.5304961530865824,0.5956129535969698,0.6350437489729452,0.7791361031456289,0.975698039935094
49,0.43088111946776064,0.5373668753140141,0.6288586764920032,0.7268309902705805,0.7825217384590065,0.9557705631042954
50,0.45759291478213376,0.5156662204593699,0.6051717623873003,0.654072484093335,0.7527681199237376,0.9213892963913293
51,0.40777553091160834,0.5245428233703912,0.6036698207262009,0.666880141408014,0.7507241111594296,0.9232418506427266
52,0.41818848970718475,0.5161915789237059,0.616599864991234,0.6851237209317682,0.7897042718635029,0.9438927754500691
53,0.4297317533387209,0.542825148407079,0.6345131026010823,0.688257925897196,0.7854333232043104,0.9562272506694186
54,0.41653947512269274,0.5267503309995768,0.605687974485151,0.6756648545572995,0.7861668606963875,0.9302223940553311
55,0.42660195195809125,0.5014690244683057,0.6073545367377545,0.6716233417958539,0.7768189597172138,0.9060502194219507
56,0.43394164218275744,0.5119008291127658,0.5986618013298008,0.6467054141511492,0.8268867340146357,0.8964511287631977
57,0.450610598917961,0.5601570525113195,0.6457897694845444,0.7092829446366375,0.8178876684718631,0.9595486066068513
58,0.4132001800314542,0.5273287738966584,0.6072113773249592,0.6780372575798729,0.7966399158911383,0.9386335560753264
59,0.4150038347681301,0.5376678886567626,0.6274389390786301,0.6967930117549322,0.793637954140716,0.9587507224659341
60,0.46443365396672337,0.5378039157311718,0.6335321030036527,0.6619424865964012,0.7561454655158423,0.9161035942525059
61,0.4280377223813313,0.5365676711689553,0.6448646354125338,0.6713844203059204,0.7975673003485291,0.9643321500329716
62,0.4374338878155403,0.5627608176037596,0.658033152365813,0.7031703636158747,0.8204940996289747,0.9841075925196535
63,0.4271160386319333,0.5417467147411682,0.6550561500171421,0.6989469831610396,0.8172195910873489,0.9541987343076047
64,0.44241298292366793,0.5004388130634886,0.6099401332487117,0.6609775026177751,0.7719005873425682,0.9482287073454652
65,0.47250748359237554,0.5706113864432554,0.6525338990751542,0.7123832843448613,0.8222356658809111,0.9590508833120864
66,0.4406167017997068,0.5009986557610069,0.6311344264080723,0.6794020359873049,0.7901261065465371,0.9314560393251332
67,0.4306241912931413,0.4913879851799012,0.6113208965453352,0.6629384907905314,0.7453369516080909,0.898283949353993
68,0.41477818344469974,0.5225536840657401,0.6434766883705862,0.6911830947810204,0.8115957799219027,0.9445475048695107
69,0.441954356464096,0.5357565637509014,0.6312531220132296,0.6930886565628814,0.8310163882940403,0.9115925186475689
70,0.40613140873557496,0.5088174380059437,0.6021139486627869,0.6493390624698165,0.7756953629871586,0.9341481347113133
71,0.44595819112636886,0.5727655118753434,0.6232426567507744,0.6779466855826947,0.7826703368200445,0.9566157103537263
72,0.44649515748659757,0.556262854431353,0.6698406536950016,0.6884475270383558,0.7919921420251892,0.9393264699845482
73,0.4213446203929811,0.5307660473123268,0.6141011313862001,0.6868653156748203,0.802469795932239,0.9252715884424169
74,0.4400430710487477,0.5435302902526215,0.6405760604536577,0.6846941265953915,0.797284802737032,0.9143136017563943
75,0.44641845449611406,0.5280876346826138,0.5945286480954747,0.6764180669797495,0.780079895224498,0.9521554220758736
76,0.4386865183080454,0.512119383045239,0.6305414186428463,0.7110213119617406,0.8194700284521693,0.9435003247015651
77,0.430032252120192,0.5589870054881025,0.638913224269067,0.7286909943329013,0.8387510790064627,0.9816465387350602
78,0.4332200744909436,0.547547567934493,0.6411095577584377,0.7374785080792908,0.8512930968480853,0.9753125389487195
79,0.4428902349930698,0.5668631388292644,0.666779290788439,0.7266396166692705,0.8201313807246391,0.9933092436938626
80,0.46455524334881887,0.548563523375765,0.669533267494375,0.7374614828205683,0.8537271608374767,0.9952778302812394
81,0.4369409156966492,0.5549107306749009,0.661120323508704,0.7295601584251119,0.8714381045558669,0.9752433088319375
82,0.44472602672224276,0.5492767206767577,0.6581217976054811,0.7255303428957345,0.8446166969799492,0.9841817516172957
83,0.4455782728724266,0.5424982003562722,0.6404503254731905,0.7265396587448446,0.8451890490510575,1.0018653265457689
84,0.4429092528496113,0.5528491903923938,0.6264287059443894,0.712620310765182,0.8257689722360274,0.9872929104468323
85,0.434452343091176,0.5581391229805321,0.6273844848196756,0.6948020143021347,0.7914447005099464,0.9530106294788913
86,0.4233115706978449,0.49678340066768495,0.5699207209123268,0.633814923362074,0.7232689434788491,0.8669215885457778
87,0.42224713627211496,0.5493351140207278,0.629871891984224,0.6697989616861901,0.7744911119557122,0.9483354920634701
88,0.42022884883497424,0.5079570788246128,0.6006694883279392,0.6606647807167967,0.77549467346947,0.9122178953103993
89,0.44239802489035435,0.5445036809803334,0.6376140831557421,0.6782000235033259,0.7927871794310364,0.9523695803389792
90,0.4161178906131335,0.5161717516840357,0.6394748852495565,0.6998255473413646,0.7747397202485689,0.9377431220980542
91,0.4411720901520981,0.505624541811902,0.5828171454306045,0.6328179273307293,0.7383903996693,0.9270572017639914
92,0.44881092390428023,0.5410958715757236,0.6033800659029099,0.6805534897093475,0.7734288279788488,0.9504149578835451
93,0.44408208636054824,0.5694221201782423,0.613917012014337,0.6666807249420632,0.7896648898544321,0.948323658201187
94,0.4533353703304318,0.5446777247385183,0.5971947011920729,0.6580963071711468,0.7826101909850187,0.9690629901342552
95,0.4475504282551076,0.5460508324831301,0.6008909834283112,0.6522619724251534,0.7612924898300371,0.9162680697470593
96,0.41488566458845194,0.507685072970191,0.5689964133840689,0.6172964809699988,0.7231809434917807,0.9307102860144446
97,0.4242171965766686,0.49880885680176634,0.5947647453251682,0.6560516367137067,0.7501037796283273,0.9229822614674077
98,0.42046693853907036,0.487945548491647,0.6052263314162477,0.6446116949479206,0.7624619334130256,0.9268218050762661
99,0.4434448058270793,0.5410755064982936,0.6298244090361239,0.6674900395431819,0.7672862470228603,0.9406502656543579
100,0.43300510335650705,0.5156407834118215,0.5678261862441628,0.6517716137299194,0.7899664968281528,0.9206074854928992
101,0.41196101810340086,0.4916145595948765,0.566469635278124,0.6025784888164383,0.6794418758007413,0.8848480224031889
102,0.4297766223097481,0.5226412039413015,0.5915470207112712,0.6444285908661352,0.7559214835921599,0.8914390305857206
