qt=0.05,qt=0.5,qt=0.95,date
0.00011571575505126327,0.007269290129681451,0.1530741282817015,2015-10-01
0.0001157178737630389,0.0072693263939760805,0.15307500168636817,2015-10-02
0.00011571655580656211,0.007269303153958146,0.15307443985277214,2015-10-03
0.00011571830176527496,0.007269333736297928,0.15307517842365437,2015-10-04
0.00011571634736370578,0.007269300319605628,0.15307437399362891,2015-10-05
0.00011571522256123607,0.007269281339592203,0.15307391749450103,2015-10-06
0.00011571628439871645,0.007269299190523333,0.15307434662069921,2015-10-07
0.00011571793742811603,0.00726932749536055,0.15307502823141292,2015-10-08
0.00011571727208265971,0.007269315821567092,0.15307474628110368,2015-10-09
0.00011571376967864388,0.007269256826719727,0.15307332754545214,2015-10-10
0.00011571666773331088,0.007269305727278405,0.15307450400932177,2015-10-11
0.0001157180126912838,0.007269329109472064,0.15307506814380464,2015-10-12
0.00011571831976723371,0.00726933485701108,0.15307520804704217,2015-10-13
0.0001157190165024013,0.007269346232758202,0.15307547986166548,2015-10-14
0.00011571826931698124,0.00726933287415632,0.15307515668053912,2015-10-15
0.0001157177157182477,0.007269323329098803,0.1530749267406899,2015-10-16
,,,2015-10-17
0.00011571351044199228,0.007269252312333147,0.15307321836134635,2015-10-18
0.00011571422166808329,0.007269264263946495,0.15307350592248836,2015-10-19
0.00011571663317486519,0.007269304760747955,0.15307447948862554,2015-10-20
0.00011571768153948238,0.007269322366877986,0.15307490234854143,2015-10-21
0.00011571762925976255,0.0072693213380769835,0.15307487714679183,2015-10-22
0.00011571697437165811,0.007269310454959913,0.15307461616033594,2015-10-23
0.00011571832093608609,0.007269332499401454,0.15307514360046873,2015-10-24
0.0001157125080118895,0.007269235481147884,0.1530728133206561,2015-10-25
0.0001157159105397392,0.007269292455098551,0.15307418320625318,2015-10-26
,,,2015-10-27
0.0001157139842079875,0.007269260196056026,0.15307340778561637,2015-10-28
0.00011571481935516005,0.007269274163312392,0.15307374354285416,2015-10-29
0.00011571599294931966,0.007269293917545398,0.15307421862142037,2015-10-30
0.00011571452828364426,0.007269269418681929,0.153073629929071,2015-10-31
,,,2015-11-01
0.00011571409002250542,0.007269261825038638,0.15307344646025212,2015-11-02
0.0001157152326491809,0.007269280767846401,0.15307390121790707,2015-11-03
0.00011571562876199108,0.0072692872822971676,0.15307405738114943,2015-11-04
0.00011571462328959586,0.007269270695266387,0.1530736595348499,2015-11-05
0.0001157149021850207,0.007269275356732651,0.15307377156706323,2015-11-06
0.00011571436797790776,0.00726926647082067,0.1530735581406265,2015-11-07
,,,2015-11-08
,,,2015-11-09
0.00011571142539578315,0.007269217100081613,0.1530723701066812,2015-11-10
0.00011571306571916695,0.007269244687534757,0.15307303432428543,2015-11-11
0.00011571253437159756,0.007269235803944096,0.1530728206557169,2015-11-12
0.00011571309498318077,0.007269245230301494,0.15307304756431228,2015-11-13
0.00011571254864059653,0.007269236063240636,0.15307282696955596,2015-11-14
0.00011571241823167517,0.00726923380271711,0.15307277230487334,2015-11-15
0.00011571420648164641,0.007269263652387186,0.1530734899781912,2015-11-16
