	qt = 0.05	qt = 0.5	qt = 0.95
0	-0.7661700066612961	-0.7661700066612961	-0.766170006661296
1	-1.0312281604804998	-0.8650627923396972	-0.8054410288261329
2	-1.42861594556578	-0.9839418533768343	-0.8489590750476312
3	-1.856328713950201	-1.1054977142202431	-0.8912311375975953
4	-2.3638277905170844	-1.2494045111577972	-0.9330748100994893
5	-2.7984963383595214	-1.3920487682830212	-0.9780235263525616
6	-3.2468686486338494	-1.5272744081911385	-1.0208669501505145
7	-3.570780846411436	-1.6662966963437915	-1.0663882444807526
8	-3.9892185662826014	-1.813366447670424	-1.112198160787628
9	-4.449965917588348	-1.9539641608397602	-1.158720604459115
10	-4.639705061581278	-2.04680124766423	-1.1965753119576132
11	-4.8742239712696405	-2.1554438131834486	-1.2411942008792989
12	-5.133631291574571	-2.285783353035872	-1.2794955917212691
13	-5.3959391986864675	-2.3789239943784954	-1.3243150278495839
14	-5.566659765970687	-2.4837361664992796	-1.3697196167264298
15	-5.7290147379060095	-2.5714637092401627	-1.4085623623188852
16	-5.847693819433737	-2.63620340079709	-1.448737539642866
17	-5.571438359782362	-2.475063908545356	-1.3987322388213943
18	-5.690800877645335	-2.5280969704271854	-1.4308463240338192
19	-5.803577014991907	-2.582751699708081	-1.4630110233347797
20	-5.940901024763733	-2.637455786304909	-1.497759035016313
21	-6.034858721667233	-2.7134670987089278	-1.535108810938462
22	-6.1493501088759155	-2.772140114593535	-1.5665227643765627
23	-6.219016892490323	-2.816318531340249	-1.5959970100463219
24	-6.2970806121310305	-2.849265670414536	-1.6155803991628144
25	-6.18162098670413	-2.796518924075751	-1.5874513404295407
26	-6.2322669099292405	-2.83973326998437	-1.6182896893471128
27	-6.0315354330226	-2.753003917576356	-1.5727761740019892
28	-5.915083960589173	-2.7077408165569175	-1.5640434467378486
29	-5.971244265256559	-2.7469271171744283	-1.5867709581865646
30	-6.084863982051296	-2.7929107414361876	-1.6131818684822847
31	-6.119700966284135	-2.813949061841769	-1.6344009898436596
32	-5.225574488502696	-2.3660209760788358	-1.3614091626114235
33	-5.3363936863602115	-2.429536715996857	-1.42167102973192
34	-5.507072121740826	-2.506872661765536	-1.4724508366265696
35	-5.681146562999611	-2.5898522378104136	-1.5025684578066203
36	-5.793050681710824	-2.6432603586567476	-1.5401227499137216
37	-5.876766954090947	-2.6954025272162685	-1.5810285358321345
38	-5.941484752494314	-2.732359724245259	-1.605916206909741
39	-4.433054819035656	-2.041459502345302	-1.1017002546107544
40	-3.8518974122323804	-1.7586821409056115	-0.8433292706331925
41	-4.002893794879265	-1.8114582051666488	-0.9169061965239144
42	-4.201175952332575	-1.890119991093203	-0.991836207999356
43	-4.3874676749606065	-1.9682370910072648	-1.0686783502804347
44	-4.62478606635182	-2.064546803549658	-1.1505935790681665
45	-4.771507382671811	-2.127188543981622	-1.1926914818231793
46	-3.2803583563606575	-1.455103039392084	-0.645849406661964
47	-3.570293072586235	-1.5577029339960726	-0.7039028668077212
48	-3.675471286894876	-1.5962463784975611	-0.7384235729994206
49	-3.755084474693685	-1.6177246658607765	-0.7639522919550044
50	-4.036085034460001	-1.7107829822250116	-0.817226682552056
51	-4.245378883494533	-1.7969928402762352	-0.8812945069786876
52	-4.366521797468306	-1.8789602415222992	-0.9136868636659654
53	-4.49577844017978	-1.942118103748457	-0.9442686160078664
54	-4.630499083728228	-2.0077192021418644	-0.9910864479379605
55	-3.680002664438774	-1.5657712132796775	-0.7259737993537818
56	-3.8077353039503734	-1.6111893650517533	-0.7399441212800277
57	-3.9320562489323065	-1.6614711976342105	-0.7580705057079113
58	-4.127062563073645	-1.7591610362143169	-0.8087326879087336
59	-4.298266812124513	-1.8369617536679197	-0.8380591792089555
60	-4.456094754649497	-1.9027012382691206	-0.8643538954194356
61	-4.493749746848083	-1.9274179890761096	-0.8696975805696874
62	-4.501277622512741	-1.9403296390198466	-0.8753560790518154
63	-3.748465900233267	-1.5959430229716243	-0.7298826811793035
