	qt = 0.05	qt = 0.5	qt = 0.95
0	-3.9704767166661123	-2.2724096850785056	-1.6547721925121746
1	-4.572848523339791	-2.5358989268096175	-1.736555513522167
2	-4.232282871074301	-2.3975733347568324	-1.6915660826735626
3	-4.799164782318139	-2.6191620342888884	-1.756111699036628
4	-4.562795576716649	-2.5033043770636376	-1.7211376296618202
5	-4.437231006937225	-2.4423116665177025	-1.6876949292060344
6	-4.810051135328158	-2.5739880685029872	-1.737810600947384
7	-5.272914159896219	-2.7244353151905125	-1.7804079362669796
8	-5.357300340247446	-2.7169377044319125	-1.7743783229700711
9	-5.074149718789129	-2.5260111532451868	-1.6694021749247336
10	-5.522512686217069	-2.7523415848108783	-1.7733739788804608
11	-5.779287692140801	-2.852293868856778	-1.8071813827645555
12	-5.953596260862722	-2.9025678714170553	-1.8125752732571037
13	-6.0783129968351215	-2.951684698575374	-1.8163911077604855
14	-6.139192130337183	-2.9492676234102078	-1.8172499055904063
15	-6.195640564967159	-2.9540165689310465	-1.8183834630820155
16	-5.950424470437829	-2.6967502048688528	-1.6085025584402803
17	-5.830146910663	-2.727992342124524	-1.7137996017446389
18	-5.963021897874033	-2.7819349613861624	-1.7453215149076733
19	-6.144194610865001	-2.9171267632169005	-1.8006456020504005
20	-6.233649963166193	-2.9874378569572104	-1.8190959813499323
21	-6.289287259447695	-3.007474027732785	-1.8226059125308498
22	-6.323922177689312	-3.0103999214416803	-1.8207669209311097
23	-6.3743267705932185	-3.0527027188828724	-1.835509109159223
24	-6.331184111472505	-2.937274046040728	-1.7567709487260126
25	-6.285259621400485	-2.9955843393553776	-1.8160101073102395
26	-6.242086550929961	-2.866284838355961	-1.6898563285081756
27	-6.1163303980791355	-2.9042879930923555	-1.7776238807523557
28	-6.088886447635272	-2.905097505087816	-1.7844945884521484
29	-6.180332365851644	-2.9655917252680988	-1.8137294909338786
30	-6.193276360366899	-2.9529019107535563	-1.8005357233477939
31	-6.131306910372469	-2.8496143197599135	-1.6774899897361997
32	-5.615873206341116	-2.679053112767992	-1.7031894628395179
33	-5.744289385789491	-2.7631237296626048	-1.7470884182324227
34	-5.854527757214241	-2.812816152297602	-1.7663693808502308
35	-5.898095755929988	-2.8141336354402284	-1.7589804060027612
36	-5.975130766559264	-2.8585243934132807	-1.7730552754132642
37	-6.031588720450878	-2.8857360706542665	-1.7773117295666276
38	-5.966970461387973	-2.7735263000030805	-1.6534637836850627
39	-4.5472832106596535	-2.1091588736733815	-1.194472220372835
40	-4.301096148571647	-2.0351652037196395	-1.2310716543508495
41	-4.680892771585005	-2.2609801727390684	-1.4866873862993426
42	-4.733639165023195	-2.270961009543666	-1.4636422058288456
43	-4.924683474076882	-2.369856517431323	-1.550620160533866
44	-4.958955862366471	-2.3772245021971576	-1.5399884673334974
45	-5.036028075977213	-2.392119740241852	-1.5291136312332134
46	-4.401724554874064	-2.1696692762829026	-1.4519482627923284
47	-3.9192422621409833	-1.810416926972743	-1.009574984250148
48	-4.080295358221044	-1.9238138991789921	-1.1041257736360595
49	-4.478432809197914	-2.1636025834711363	-1.3738613382459697
50	-4.514148415903164	-2.1374437095784744	-1.3225002761478126
51	-4.6296454376949	-2.160802510373439	-1.3311081341648867
52	-4.752251907436373	-2.227764423390384	-1.3638208604588593
53	-4.829084605178953	-2.2772180597061595	-1.3938024107600617
