	qt = 0.05	qt = 0.5	qt = 0.95
0	-4.046329166847107	-2.0065589480010306	-1.471704648121997
1	-4.904367338651225	-2.4134251920019265	-1.7515328739786178
2	-4.308049020021348	-2.1401962289654106	-1.57167988087318
3	-5.033692294445774	-2.496893180035653	-1.8179922939405642
4	-4.4703511693025435	-2.2251068967516856	-1.6334902236060826
5	-4.017036323368089	-2.054072636373726	-1.5224704604090435
6	-4.482019272387548	-2.2400999019107948	-1.6476575400626976
7	-5.009547407370522	-2.514039229857879	-1.8320082935704283
8	-4.809377334533779	-2.4165139837751832	-1.7722879270395082
9	-3.546037340768274	-1.9064655052476702	-1.4125579001429038
10	-4.743312380715516	-2.3927325881530037	-1.7455993134391325
11	-5.174900944746908	-2.6102317422101513	-1.903656808038632
12	-5.297586299450921	-2.6879935523540417	-1.95153829674262
13	-5.417910471764108	-2.76332218867109	-1.9960657207882806
14	-5.256086107287054	-2.6960232227287713	-1.940308585228994
15	-5.186220156228252	-2.655894318560576	-1.9040919299147931
16	-3.0348160829904134	-1.7584774459339023	-1.2352587048074712
17	-3.902440432964259	-2.0876497131387692	-1.4734901163080618
18	-4.202660954668662	-2.208723569609056	-1.57012812253942
19	-5.019655923160494	-2.549211370807612	-1.8266694854658152
20	-5.291116290918845	-2.694725427947088	-1.9024697704043145
21	-5.288582248104652	-2.714306358223634	-1.9129668106768836
22	-5.237017333293656	-2.6867802693432816	-1.8875972783433526
23	-5.496973323119048	-2.8047882676150038	-1.9580607478500829
24	-4.307695217984621	-2.272652880841235	-1.513485889638655
25	-5.158153324204061	-2.6201122360872824	-1.8094866050967888
26	-3.9815223074076473	-2.0585136103500288	-1.2945435581283553
27	-4.755972928779139	-2.418868684329939	-1.6327707468446047
28	-4.980184187847574	-2.4893516695539577	-1.7037314640515246
29	-5.306771679360516	-2.648144257453287	-1.8222673305713786
30	-5.074812645660988	-2.5245937794495754	-1.713131281464107
31	-4.319713893070592	-2.138465475566523	-1.30407216748018
32	-4.721655494968934	-2.2802296090681997	-1.547832503290314
33	-5.041888463751667	-2.4174139518654227	-1.6528561779513067
34	-5.186231699857241	-2.4801657114339517	-1.695502072310345
35	-5.057012915464975	-2.4021464693700185	-1.631288528527014
36	-5.1848866133683424	-2.456039847215148	-1.6671653185777902
37	-5.168191065692567	-2.4327434878848444	-1.6289194697853644
38	-4.544888808454934	-2.0932826619717853	-1.2494694187650923
39	-3.7496948192319697	-1.670092745507348	-0.9153386218431485
40	-3.7067304809674884	-1.6704633650481209	-0.8942810966243605
41	-4.177438866541125	-1.8840436772660103	-1.117106401693076
42	-4.100788978068574	-1.8463494292392717	-1.0632066080829057
43	-4.313399197400012	-1.931636788673637	-1.1443762008495
44	-4.235111940738579	-1.8831885512546553	-1.0764163682346484
45	-4.183817131997047	-1.8544127265665526	-1.0428355438822854
46	-4.120748734702141	-1.7728840555544616	-1.0049409004126808
47	-3.2199006288619283	-1.3789132796701777	-0.6252531898533812
48	-3.402506778005906	-1.4418792281362247	-0.6692498374057244
49	-3.922188444410349	-1.662306420705845	-0.8865247950991663
50	-3.745702864857068	-1.5809942285551857	-0.7912293495183852
51	-3.7271146138700573	-1.5634237455045688	-0.7526892559554693
52	-3.803452877374582	-1.5936842829815536	-0.7894997538479139
53	-3.8594647401942717	-1.6204196498082193	-0.826301651501259
54	-3.417932458399861	-1.3893454849620708	-0.5890117615139507
55	-3.1255480338413846	-1.279753969717725	-0.5089931397355955
56	-3.2080283285565647	-1.315973779921462	-0.539474120027418
57	-3.7250635727667647	-1.5315900858658549	-0.7673025221900174
58	-3.742791549540232	-1.5353242268675005	-0.7598885682479566
59	-3.7052420919019426	-1.5183978063960797	-0.7303588373883722
60	-3.243589004435926	-1.2861225919903396	-0.4910979372643472
61	-3.484382241583157	-1.3910979734750681	-0.5712841848274607
62	-3.132162666276084	-1.2190333623817642	-0.43595020570654863
63	-2.8268160873774395	-1.1057815383903336	-0.34834572389808194
64	-1.9769792191457625	-0.7832914909044898	-0.1930190084404911
65	-1.9801296511653559	-0.7917732078614355	-0.20567090382627445
66	-1.8439757134066062	-0.7404523441541749	-0.18145940109879927
67	-1.493175702821952	-0.6213793982072899	-0.13963439475554906
68	-1.4378123540010477	-0.5974612582998875	-0.14115187901117254
69	-1.3655890798375647	-0.5679560202137455	-0.1412473965392698
70	-0.9749978992704313	-0.41725338510505783	-0.09206427790940754
71	-0.681405365092365	-0.294758756374803	-0.06351241876747585
72	-0.6313222488842756	-0.2752775712816652	-0.05805094306652661
73	-0.6101289387716181	-0.2632604299711109	-0.05731104331011176
74	-1.3136468375158936	-0.5212889055161167	-0.2613017734907379
75	-0.6044835904484261	-0.25014875166006834	-0.08463509755673115
76	-0.9734599427035205	-0.3815224471636103	-0.17613020964369128
77	-0.5355989783768272	-0.22797396795741853	-0.06077479454879573
78	-0.48265573954990904	-0.20527486621362148	-0.05617914108739372
79	-0.6124483069138623	-0.2425921515646965	-0.09978991669422056
80	-0.38549245826766043	-0.16707897220074114	-0.04399084284271758
81	-0.29870072779292134	-0.13251491264251314	-0.03087386764348121
82	-0.34984510144157055	-0.1397932489047078	-0.062233141822540645
83	-0.9312350313851622	-0.358042299066899	-0.18725363202623482
84	-0.17281560016276376	-0.07219583968168206	-0.02354103058246224
85	-0.33110656176270686	-0.1310441088785036	-0.06261994833447403
86	-0.29364121935668863	-0.11851845616968357	-0.057825773656219395
87	-0.1837830468808908	-0.07561049784322878	-0.02922327749718031
88	-0.8158015804468828	-0.3142229243061986	-0.1630861737331179
89	-0.3801719620881559	-0.15357868407580622	-0.07755019682757411
90	-0.22905201561464292	-0.09227597741924426	-0.040173368213530285
91	-0.1721907373029301	-0.07172101228956217	-0.027956819981465392
92	-0.3800101465485922	-0.15354255416044435	-0.0774118452053639
93	-0.33352129127919944	-0.13158623395749097	-0.06257416134562027
94	-0.32082639305127714	-0.1264822426673169	-0.060103346610080634
95	-0.3006750402439601	-0.11864216310897228	-0.05631911442134282
96	-0.23281590869081975	-0.09228682365162728	-0.042459978347395
97	-0.1754364468774344	-0.07147389493268645	-0.03039474502915731
98	-0.20589168813118708	-0.08193830851934372	-0.038262264387856015
99	-0.19270777324701738	-0.07652727806100673	-0.03557387843249858
100	-0.20658645069565593	-0.08207293187311827	-0.03849117766861476
101	-0.22909734903177362	-0.09108948683890872	-0.043093294789753656
102	-0.23370405397152208	-0.09233318974715146	-0.043547334470027156
103	-0.8160321764023564	-0.3151324762640612	-0.16210760701101712
104	-0.28008437603385206	-0.10943408835186318	-0.05363305770237804
105	-0.10061449389485488	-0.04202845358158015	-0.01746763813295642
106	-0.2837960409813984	-0.11233874810823147	-0.055830827571146345
107	-0.34260504140944953	-0.1336322538576329	-0.06762786021606718
108	-0.10708330731683155	-0.04420482031807717	-0.02009786074770873
109	-0.23853667785358618	-0.09368180193179597	-0.04731983426033624
110	-0.26095671361598954	-0.10161404634372062	-0.05232894344344503
111	-0.33473503276423144	-0.1289519219668282	-0.06670848487688172
112	-1.6718859494344478	-0.6647721755574894	-0.34262804183249923
113	-0.5857687609234679	-0.2251810893644343	-0.1150708871443338
114	-0.23783457009441492	-0.09278629355331627	-0.04833046359473969
115	-0.5930630866131201	-0.22808874702744014	-0.11667390783582704
116	-0.2718944153586813	-0.10537127694951345	-0.054825121898136625
117	-0.3239678868496356	-0.12532299893605134	-0.06386964068208992
118	-0.8944357582072072	-0.34472576695010726	-0.17637749728632612
119	-0.19183484583318586	-0.07526698004557222	-0.03956698341686671
120	-0.17542973057602385	-0.06915939179410444	-0.036299720851022954
121	-0.8373768168489575	-0.3248835680593567	-0.16493292915914595
122	-1.733580173243423	-0.6933226000967081	-0.35158699368052687
123	-1.652906598112378	-0.6555919907018257	-0.33031728387556153
124	-0.6463731600096814	-0.25063560386067296	-0.1277822564561064
125	-0.6021299031089554	-0.23413182929303228	-0.1191573839011939
126	-0.5753498684978217	-0.22322551090891907	-0.11338214191258142
127	-0.8824827916600149	-0.34138866285201935	-0.1728124118767405
128	-1.7213264495552631	-0.6786625494779579	-0.3470755921165991
129	-2.403435196752505	-0.9768234259967683	-0.5172042967491332
130	-2.7635392542514463	-1.1432792001229233	-0.6163976934182517
131	-2.3164237853615988	-0.9361835195911362	-0.4936671627116674
132	-2.5324166077500134	-1.033986342590826	-0.5524097944354157
133	-2.8118668844440498	-1.1544946865280714	-0.6245577092133472
134	-1.5962313986534022	-0.6283207608252979	-0.3205467831965006
135	-2.59264321545191	-1.0557254438812884	-0.567308958762922
136	-2.945599107821243	-1.2119377377169755	-0.6633536703527522
137	-3.3223677536286917	-1.4016510094440855	-0.7930514888945065
138	-2.912093769479801	-1.1960202971352856	-0.6563147626877855
139	-0.7537387458591925	-0.2874235158460966	-0.14546178664849763
140	-0.2705148275309343	-0.10152330930282857	-0.05214130484540944
141	-0.6152985197167494	-0.23134732751643033	-0.11689766300129477
142	-1.5238916883066995	-0.5964568532033493	-0.30687848967337455
143	-1.9561469639371853	-0.7704733431555526	-0.40256504788781733
144	-2.9466950587698233	-1.184830856755955	-0.6528378681793942
145	-3.0038182763746244	-1.2108675639075155	-0.6697205092966799
146	-3.368706596365767	-1.3946923133870652	-0.7915899139836396
147	-2.8664628118256394	-1.1500462047241355	-0.6361745243486232
148	-1.2441483133586337	-0.4805750268836037	-0.24710786051937345
149	-0.8658907284346377	-0.32613217831063385	-0.16646141334024814
150	-0.6157468384369895	-0.22935859336974124	-0.11683785206882903
151	-1.9205360112861187	-0.7572475433904515	-0.3961446204452712
152	-0.24755216964982946	-0.08938702882987343	-0.045888237551840724
153	-0.24572432734834015	-0.0887918717530666	-0.04547688140947882
154	-1.4085128189815237	-0.5426758601273477	-0.2794550647170485
155	-1.285732063119044	-0.48711604387910923	-0.24996332356111153
156	-0.22335507262334522	-0.08254338855364168	-0.04282361867733099
157	-0.1958487427741728	-0.07059611783637741	-0.03632587991855158
158	-2.2339196853719665	-0.8958223481626728	-0.47592246100795954
159	-0.2508175284305738	-0.0907096261007089	-0.04629093492126073
160	-0.3704986742976989	-0.13422065198307565	-0.06857081582005187
161	-0.7776466295636928	-0.2845011231027922	-0.14491204121388165
162	-0.288325054731119	-0.10331352768866506	-0.05297947798144057
163	-0.18191364898411794	-0.06522768102812618	-0.03365183293906436
164	-0.1420582017582889	-0.053184381387276505	-0.027688733973784997
165	-1.5587148550927088	-0.5917496795145537	-0.3042779721812265
166	-2.119960588618249	-0.839034033121176	-0.4413271027027089
167	-3.3448260384199684	-1.376516210742794	-0.772061646741135
168	-3.7580898348059724	-1.59806951230131	-0.9253091186423175
169	-3.747709041099794	-1.5948113810822675	-0.9202673512792277
170	-1.3346807318394276	-0.4892672871205434	-0.2510574067549761
171	-0.46225253353865126	-0.16514380218456912	-0.08429092099980882
172	-0.24807675832009873	-0.08927609792469753	-0.04566617694864581
173	-1.0100110921143108	-0.3650684679052472	-0.18645994173004243
174	-2.6226431104755177	-1.0522708017635876	-0.560784473923952
175	-2.114697180338804	-0.817475792943689	-0.42727289677898567
176	-3.554182607852667	-1.5047454474399253	-0.8532243045906193
177	-2.248875210267378	-0.8721288724549005	-0.45587153103579525
178	-2.5016476630801128	-0.9986921491142152	-0.5243667744603406
179	-3.0795096428826163	-1.2641017616079213	-0.6856759761723851
180	-3.6305196691754476	-1.548049062252955	-0.8810350475875702
181	-3.8499615895874766	-1.6600344364028872	-0.9630262330571561
182	-4.023478146897539	-1.7572408645575694	-1.0508349869036784
183	-3.3286936554248445	-1.4038704893157252	-0.7660902583335466
184	-3.8310830700275855	-1.6539531291433496	-0.9516104624654098
185	-3.830921518414242	-1.654104811378116	-0.955097849195073
186	-4.044065855866977	-1.7703158332519915	-1.058853101946486
187	-4.791108237482386	-2.172824457319976	-1.4178434033598495
188	-5.051128684185013	-2.3446421022033137	-1.5836910072960058
189	-4.216622357457276	-1.8590883671896488	-1.14060095986787
190	-3.0522717660372884	-1.2511586891659674	-0.665025660734071
191	-2.09861323429466	-0.7810874902216145	-0.3956559515943014
192	-1.8586310241944817	-0.6814413830851916	-0.34135417240423466
193	-2.7794603190059948	-1.109187022377331	-0.5730270130953414
194	-2.0216652961751613	-0.751254615355953	-0.377268945050266
195	-3.131225916044898	-1.2820071567862248	-0.6852748833940964
