qt=0.05,qt=0.5,qt=0.95,date,ps
-1.9417135284467189,-1.697638991784613,-1.5962545449417909,2015-05-30,-0.012503681603503061
-2.4438154531877823,-2.12322734720998,-1.98808830690947,2015-05-31,-0.01463697142721429
-2.875341219421485,-2.46817519789764,-2.3061815687996288,2015-06-01,-0.016912901957956538
-3.0043181136002657,-2.5737369728248196,-2.4056728353429455,2015-06-02,-0.018963840715396686
-2.9571065549162485,-2.5338933090717677,-2.366679920480856,2015-06-03,-0.02092718656763647
-1.9914028660650864,-1.7405385489814764,-1.6367982624381467,2015-06-04,-0.022467136534111153
-1.6026542155672954,-1.4113216721706805,-1.332132466189235,2015-06-05,-0.02390865500272672
-2.922620452017219,-2.5045529382323384,-2.340575723157608,2015-06-06,-0.024994677666003818
-1.242730234390177,-1.1004232776066498,-1.040544003846607,2015-06-08,-0.020282880548052027
-2.8112649649767953,-2.418227864500471,-2.2585940402038736,2015-06-09,-0.017876209924300168
-1.941749102568508,-1.6979815356737926,-1.5969822327801206,2015-06-10,-0.01680555646979957
-1.447814844771086,-1.2774928500946114,-1.2065874556710716,2015-06-11,-0.01710878500499863
-2.155241958596906,-1.8779278902819942,-1.7616461274251578,2015-06-12,-0.015029449114053345
-2.4322017862852148,-2.1129510035877743,-1.9785529276217606,2015-06-13,-0.01437100842740425
-1.465149822838022,-1.2925448067614012,-1.220605477470079,2015-06-14,-0.01524905152427955
-1.9271987168288989,-1.6852667925005802,-1.5856872881912714,2015-06-15,-0.01629931031075923
-2.723531006938873,-2.354466069759878,-2.1946355814445493,2015-06-16,-0.01779901102337512
-2.5577293668293204,-2.2145951956990046,-2.0695053609011387,2015-06-17,-0.01917130775070696
-1.8603895766589704,-1.62980839503576,-1.5345257369850485,2015-06-18,-0.020598852949674357
-2.9007286131027747,-2.4893932638787186,-2.325949258140145,2015-06-19,-0.022460132031263055
-1.971822489883582,-1.7243685929482937,-1.6218664961934526,2015-06-20,-0.024161939625172213
-1.541702724713847,-1.3593887617968357,-1.2836735833413873,2015-06-21,-0.025552723675426266
-1.9927539395011569,-1.7421599895888429,-1.6383931267055132,2015-06-22,-0.026839794802604938
-1.6927491385362141,-1.4892253837768428,-1.4045077353742037,2015-06-23,-0.028494343948870793
-2.8788231821705876,-2.472151640640347,-2.3092961449742235,2015-06-24,-0.02977526883756774
-1.6428882771867277,-1.446616427594296,-1.3653446942637237,2015-06-25,-0.029601141825414522
-2.9442691853435976,-2.5227953541891583,-2.3570388745089277,2015-06-26,-0.027929588189277373
-3.018199546838061,-2.5878661410399904,-2.4204609690671637,2015-06-27,-0.029291477232042812
-2.9848288892793398,-2.55953749409003,-2.3915691528947938,2015-06-28,-0.030771654340680507
-3.026845215877367,-2.595780478069102,-2.4270862474384662,2015-06-29,-0.03277782248425543
-2.883450481210228,-2.4748175484224726,-2.3124859455441293,2015-07-02,-0.02264345328408458
-2.57673560181439,-2.230562374890227,-2.082748290664018,2015-07-03,-0.0212063993118617
-2.6120282621057003,-2.2577815111178636,-2.1083983846205134,2015-07-04,-0.021923420207896744
-2.5090831934056497,-2.174097766803167,-2.033750385435649,2015-07-05,-0.02239386383203754
-2.575783285341452,-2.2304768011384337,-2.0824927275214655,2015-07-06,-0.02412254116055071
-2.276629993438658,-1.9829517878596108,-1.8597634360331092,2015-07-07,-0.024186735508837737
-2.9383808246844554,-2.5167909616581525,-2.352162039374909,2015-07-08,-0.025496373862357518
-2.8266389486740238,-2.4304428700077256,-2.2668662957103534,2015-07-09,-0.02688350876627447
-2.853887564931142,-2.451977563557791,-2.286541729328366,2015-07-10,-0.02874968559025351
-2.8065872187027177,-2.416159564913456,-2.2584522192917547,2015-07-11,-0.03171482702472465
-2.6167437422265047,-2.261970290514266,-2.114968524759649,2015-07-12,-0.03381659614983519
-1.5712783339568035,-1.3864169849729882,-1.3095682152523413,2015-07-13,-0.03708769171967202
-1.686965318546048,-1.485502629290298,-1.402099267619707,2015-07-14,-0.038791435446114804
-2.6539572866599954,-2.2943800725585817,-2.143168325542695,2015-07-15,-0.04266035197798603
-1.0894122368568897,-0.9700153629737833,-0.919245229413021,2015-07-17,-0.05158489661979374
-2.1673516133268,-1.8936539545619349,-1.778346843649997,2015-07-18,-0.05513749351872719
-2.6871380331353296,-2.3266905923489385,-2.173440754045774,2015-07-19,-0.06219223075054118
-2.2563045050746395,-1.9726870762448965,-1.8520312843560014,2015-07-20,-0.07211147555396775
