qt=0.05,qt=0.5,qt=0.95,observed,date
0.45244556598180247,0.4605318680539656,0.4678188947010819,0.6476,2015-10-01
0.574248462396113,0.5845393504829424,0.5937463050345279,0.7031,2015-10-02
0.4959476039212863,0.5048362357453537,0.5127429725665222,0.6721,2015-10-03
0.59890135182647,0.6096473592378385,0.6192318778866281,0.7216,2015-10-04
0.4867019731010857,0.49540221846171006,0.5032421483708297,0.6893,2015-10-05
0.42304052565339234,0.4306267175867772,0.43742961436236094,0.6181,2015-10-06
0.4828894255457289,0.49151602291824703,0.49929621217406345,0.6415,2015-10-07
0.5779502600852061,0.5883069753345428,0.5975739303103573,0.6665,2015-10-08
0.5386478186202344,0.5483439458958222,0.5569214383481499,0.6589,2015-10-09
0.3408055304351323,0.34689757340454447,0.35239074079855515,0.5638,2015-10-10
0.5048389221437691,0.51386159673363,0.5219877940644262,0.6048,2015-10-11
0.5834898579737788,0.5939229650828605,0.6033257777877533,0.632,2015-10-12
0.6029655394759553,0.6137516439751887,0.6234945859175488,0.6272,2015-10-13
0.6409343950881343,0.6524072983820994,0.6626997875433045,0.6562,2015-10-14
0.5958941435945279,0.6065965537447129,0.6160995644433978,0.6458,2015-10-15
0.5638250596385087,0.5739557233625909,0.5829429553480335,0.61,2015-10-16
,,,0.0555,2015-10-17
0.32558725449648407,0.3314071128875371,0.33665464751513874,0.3569,2015-10-18
0.365669392894998,0.37222627975642186,0.37810278775462913,0.3774,2015-10-19
0.5014512908077107,0.5104711028275575,0.5184556427647655,0.5022,2015-10-20
0.560454412366358,0.5705672683803441,0.5794223736486226,0.5426,2015-10-21
0.5569503603321952,0.5670544951141498,0.575784304259728,0.5452,2015-10-22
0.5205232407865226,0.5298649973389072,0.5381621882276573,0.5001,2015-10-23
0.5942383850068104,0.6052031294096947,0.6141911920229619,0.5183,2015-10-24
0.2691366632843286,0.27395435590936845,0.2782793120505952,0.2688,2015-10-25
0.4601320071208749,0.46841987201146695,0.4757394026049731,0.4442,2015-10-26
,,,0.1197,2015-10-27
0.3519903288487153,0.3583010705641575,0.36395763559969,0.3109,2015-10-28
0.39880316931965154,0.40594238284027556,0.4123560931158373,0.38,2015-10-29
0.4650656832255926,0.4734359235892563,0.48084479505151095,0.4373,2015-10-30
0.38295509109754616,0.38981980982521564,0.3959777904808637,0.3709,2015-10-31
,,,0.0544,2015-11-01
0.3573812590657531,0.3637882137692829,0.36953259293789575,0.2431,2015-11-02
0.42082313434603186,0.4283921156041737,0.4350872320340018,0.3098,2015-11-03
0.4426168385965478,0.4505468424173438,0.45760085791697847,0.3107,2015-11-04
0.3871016114350899,0.39403056957291144,0.40024667269228215,0.22399999999999998,2015-11-05
0.40272846704729603,0.409961748931388,0.4163966185906363,0.2851,2015-11-06
0.3729557301882803,0.3796378723981572,0.38563071128451565,0.2818,2015-11-07
,,,0.0829,2015-11-08
,,,0.0043,2015-11-09
,,,0.2009,2015-11-10
0.2999364752425977,0.3053023107586196,0.31013033733758866,0.1527,2015-11-11
0.2701581702943507,0.2749923415375052,0.27933674637586303,0.1858,2015-11-12
0.30178201043926767,0.3071780359755359,0.31203864315419505,0.2399,2015-11-13
0.2710381791999,0.27588886028707466,0.28024655885845273,0.1261,2015-11-14
,,,0.10099999999999999,2015-11-15
0.36345877472740545,0.369971142693623,0.3758053926406727,0.0726,2015-11-16
,,,0.0549,2015-11-17
,,,0.1208,2015-11-18
0.2989660640592104,0.3043096695343546,0.30912646797284316,0.0853,2015-11-19
,,,0.0736,2015-11-20
,,,0.0821,2015-11-21
,,,0.0652,2015-11-22
,,,0.0564,2015-11-23
,,,0.0159,2015-11-24
,,,0.0037,2015-11-25
,,,0.0,2015-11-26
,,,0.0084,2015-11-27
,,,0.0103,2015-11-28
,,,0.0,2015-11-29
,,,0.0,2015-11-30
,,,0.0007,2015-12-01
,,,0.003,2015-12-02
,,,0.0015,2015-12-03
,,,0.0,2015-12-04
,,,0.0033,2015-12-05
,,,0.0004,2015-12-06
,,,0.0031,2015-12-07
